timestamp,threat_type,source_ip,destination_ip,confidence,details
2026-07-18T13:23:22.633442,anomaly,10.53.249.27,20.42.65.93,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -54.061, 'confidence': 1.0}"
2026-07-18T13:23:22.811488,anomaly,20.42.65.93,10.53.249.27,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -187.465, 'confidence': 1.0}"
2026-07-18T13:23:38.094639,anomaly,13.107.5.93,10.53.249.27,0.9387676151588921,"{'type': 'anomaly', 'method': 'zscore', 'feature': 'packet_size', 'z_score': 5.63, 'confidence': 0.9387676151588921}"
2026-07-18T13:23:44.647480,anomaly,20.189.172.73,10.53.249.27,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -247.188, 'confidence': 1.0}"
2026-07-18T13:23:46.461774,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:23:47.610602,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:23:48.520436,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:23:49.658567,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:23:50.682288,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:23:51.706469,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:23:52.719656,anomaly,10.53.249.27,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -47.78, 'confidence': 1.0}"
